Rpa;Tipo_cod;Tipo;Cod_escola;Escola;Inep;Rua;Numero;Cod_bairro;Bairro;Metragem;Qtd_alunos;Qtd_turmas;Qtd_professores;Escola_climatizada;Data_visita;Quadra_coberta;Quadra_descoberta;Biblioteca;Sala_recurso;Gestor;Longitude;Latitude;Região
4;2;CRECHE MUNICIPAL;422;LUA LUAR;26413779.0;MAURICIO DE NASSAU;42;698;IPUTINGA;232,8;69;4;4;SIM;26/04/2017;NÃO;NÃO;NÃO;NÃO;RISELIA BEZERRA DA SILVA ANDRADE;-34.93;-8.0384;Oeste
4;2;CRECHE MUNICIPAL;527;MENINO JESUS DA BOMBA GRANDE;26153416.0;NOSSA SENHORA DA SAUDE;479;698;IPUTINGA;240,2;56;4;3;SIM;11/05/2017;NÃO;NÃO;NÃO;SIM;SEVERINA VALKIRIA DO NASCIMENTO;-34.928;-8.0418;Oeste
4;2;CRECHE MUNICIPAL;536;NOSSA SENHORA AUXILIADORA;26153300.0;DOUTOR ANTONIO CORREIA DE OLIVEIRA;669;701;TORROES;162,7;37;2;2;NÂO;;NÃO;NÃO;NÃO;NÃO;ANA CLAUDIA DE ARAUJO;-34.933;-8.0666;Oeste
4;2;CRECHE MUNICIPAL;984;RODA DE FOGO;26156849.0;OCIDENTAL;33;680;CORDEIRO;850;49;4;4;NÂO;;NÃO;NÃO;NÃO;NÃO;MONICA AUGUSTA DE SOUZA;-34.933;-8.0524;Oeste
4;2;CRECHE MUNICIPAL;554;ROSA SELVAGEM;26153114.0;PORTO SEGURO;470;736;VARZEA;252,5;57;3;3;SIM;;NÃO;NÃO;NÃO;NÃO;ISABEL CRISTINA DOS SANTOS;-34.977;-8.0318;Oeste
4;2;CRECHE MUNICIPAL;981;VINDE A MIM AS CRIANCINHAS;26157560.0;EDEIA;S/N;647;MADALENA;164,9;41;2;2;SIM;17/02/2017;NÃO;NÃO;SIM;NÃO;ANA NERY DE MIRANDA;-34.912;-8.0558;Oeste
4;2;CRECHE MUNICIPAL;525;WALDIR SAVLUSCHINSKE;26153351.0;ALVARO TEIXEIRA MESQUITA;S/N;710;ENGENHO DO MEIO;866,6;134;7;8;NÂO;03/05/2017;NÃO;NÃO;SIM;NÃO;SANDRA RAQUEL MAIA GARRIDO;-34.939;-8.0504;Oeste
4;5;CMEI;437;ALCIDES RESTELLI TEDESCO;26181835.0;FAUSTO CARDOSO;653;647;MADALENA;850;230;12;11;SIM;17/02/2017;NÃO;NÃO;SIM;NÃO;IRENE REZENDE PEREIRA;-34.915;-8.0527;Oeste
4;5;CMEI;399;PROFESSOR PAULO ROSAS;26212412.0;PROFESSOR LUIZ FREIRE;SN;728;CIDADE UNIVERSITARIA;780,1;117;6;6;NÂO;;NÃO;NÃO;SIM;SIM;KEILA PATRICIA VANDERLEI MACEDO;-34.956;-8.0563;Oeste
4;5;CMEI;528;SEMENTINHA DO SKYLAB;26153246.0;ITAPARINGA;SN;698;IPUTINGA;280,3;152;7;5;NÂO;;NÃO;NÃO;SIM;NÃO;CARLA ROBERTA FRAGA SOUZA;-34.928;-8.0327;Oeste
4;8;CRECHE ESC.RECIFE;74;ASSOCIACAO CRISTA FEMININA;26123185.0;;68;655;TORRE;;151;8;6;NÂO;;NÃO;NÃO;NÃO;NÃO;KARLA CABRAL BARROCA;-34.909;-8.0421;Oeste
4;8;CRECHE ESC.RECIFE;449;CMEI DARCY RIBEIRO;26182815.0;ODETE MONTEIRO;450;680;CORDEIRO;850;90;5;5;NÂO;;NÃO;NÃO;NÃO;NÃO;ELIONE RIOS DAS NEVES;-34.92;-8.0455;Oeste
4;8;CRECHE ESC.RECIFE;478;CRECHE ESCOLA RECIFE MIGUEL ARRAES DE ALENCAR;26186926.0;ARISTONCIO DE OLIVEIRA;189;698;IPUTINGA;;108;5;5;NÂO;;NÃO;NÃO;NÃO;NÃO;ANA PAULA DE FARIAS CORDEIRO LEITE;-34.94;-8.0294;Oeste
4;8;CRECHE ESC.RECIFE;134;MARIA LUZINETE DA COSTA;26191695.0;;190;760;ILHA DO RETIRO;;62;4;4;NÂO;;NÃO;NÃO;NÃO;NÃO;LUCICLEIDE GOMES DE ARAUJO BARROS;;;Oeste
4;8;CRECHE ESC.RECIFE;8;MIGUEL ARRAES RODA DE FOGO;26190362.0;;S/N;701;TORROES;;226;10;7;NÂO;;NÃO;NÃO;SIM;NÃO;WILNNE DO CARMO SILVA BARROS;;;Oeste
4;8;CRECHE ESC.RECIFE;533;SANTA LUZIA;26153335.0;SOUZA BANDEIRA;S/N;655;TORRE;510,7;126;7;7;NÂO;03/04/2018;NÃO;NÃO;SIM;NÃO;GLORIA REJANE CAVALCANTI DE SOUZA;-34.916;-8.0451;Oeste
4;8;CRECHE ESC.RECIFE;982;SITIO DO CARDOSO;26156628.0;PADRE LANDIM;390;647;MADALENA;631,8;138;8;9;NÂO;;NÃO;NÃO;NÃO;SIM;JOSELMA LUIZA DE ARAUJO SILVA;-34.912;-8.0492;Oeste
5;1;ESCOLA MUNICIPAL;962;ALTO DA BELA VISTA;26123380.0;ALTO DA BELA VISTA;338;922;COQUEIRAL;127,3;114;6;4;NÂO;03/07/2017;NÃO;NÃO;NÃO;NÃO;LUCIANA DA SILVA MARTINS;-34.968;-8.0847;Sudeste
5;1;ESCOLA MUNICIPAL;411;ALTO DA BELA VISTA - ANEXO I;26123380.0;ALTO DA BELA VISTA;369;922;COQUEIRAL;127,3;72;5;3;NÂO;03/07/2017;NÃO;NÃO;NÃO;NÃO;;-34.968;-8.0845;Sudeste
5;1;ESCOLA MUNICIPAL;102;ANDRE DE MELO;26123541.0;MORAES E SILVA;180;833;ESTANCIA;1110;578;26;29;NÂO;09/04/2018;NÃO;NÃO;SIM;SIM;SANDRA BONIFACIO DE ALBUQUERQUE;-34.93;-8.0837;Sudeste
5;1;ESCOLA MUNICIPAL;14;ANTONIO FARIAS FILHO;26117576.0;VINTE E UM DE ABRIL;S/N;817;SAN MARTIN;1789;796;34;34;NÂO;;SIM;NÃO;SIM;SIM;SANDRA MARIA FERREIRA NASCIMENTO XAVIER;-34.925;-8.0726;Sudeste
5;1;ESCOLA MUNICIPAL;100;BALBINA MENELAU;26120682.0;JOAO DE ANDRADE;82;868;JARDIM SAO PAULO;680;346;18;11;NÂO;16/02/2017;NÃO;SIM;SIM;SIM;MARLUCE MARIA LUCIA DE ARAUJO;-34.949;-8.0831;Sudeste
5;1;ESCOLA MUNICIPAL;73;CASA DOS FERROVIARIOS;26123444.0;DR JOSE CORNELIO;84;922;COQUEIRAL;471,2;413;23;20;NÂO;;NÃO;NÃO;SIM;SIM;DILMA LIMA DA SILVA;-34.965;-8.0904;Sudeste
5;1;ESCOLA MUNICIPAL;974;CHICO MENDES;26170779.0;DO CAMPO;S/N;841;CACOTE;227,3;437;21;14;SIM;31/10/2017;NÃO;NÃO;SIM;SIM;CELI VIEIRA DA ROCHA;-34.932;-8.1032;Sudeste
